vendor_id,category,type_of_event,price_range,description
101,Wedding Hall,Wedding,5000,"Smartphone and accessories"
102,Wedding Hall,Birthday,3000,"Laptops and accessories"
103,Wedding Hall,Wedding,6000,"Home gadgets"
104,Wedding Hall,Conference,4000,"Audio equipment"
105,Wedding Hall,Nikkah,5500,"Smart home devices"
106,Wedding Hall,Wedding,7000,"Headphones and speakers"
107,Conference Hall,Conference,3500,"Furniture and decor"
108,Conference Hall,Conference,4500,"Home essentials"
109,Conference Hall,Birthday,2000,"Outdoor furniture"
110,Conference Hall,Nikkah,3000,"Kitchen essentials"
111,Wedding Hall,Wedding,6500,"Fiction and non-fiction"
112,Wedding Hall,Wedding,7000,"Historical fiction"
113,Wedding Hall,Nikkah,5500,"Mystery and thrillers"
114,Wedding Hall,Conference,4000,"Science fiction and fantasy"
115,Wedding Hall,Birthday,2000,"Young adult"
116,Conference Hall,Conference,5000,"Decor items"
117,Conference Hall,Wedding,7500,"Outdoor furniture"
118,Conference Hall,Nikkah,4500,"Lighting"
119,Conference Hall,Birthday,2500,"Storage solutions"
120,Conference Hall,Conference,3000,"Home organization"
121,Wedding Hall,Wedding,8000,"Travel"
122,Wedding Hall,Nikkah,6000,"Formal wear"
123,Wedding Hall,Birthday,2500,"Casual wear"
124,Wedding Hall,Birthday,3500,"Summer wear"
125,Wedding Hall,Wedding,6500,"Winter wear"
126,Conference Hall,Conference,4500,"Smart home devices"
127,Conference Hall,Wedding,7500,"Wearable tech"
128,Conference Hall,Conference,4000,"Smart watches"
129,Wedding Hall,Nikkah,5500,"Athletic wear"
130,Wedding Hall,Birthday,3000,"Accessories"
131,Wedding Hall,Wedding,7000,"Footwear"
132,Wedding Hall,Nikkah,5500,"Jewelry"
133,Wedding Hall,Birthday,2500,"Handbags"
134,Conference Hall,Conference,3500,"Belts"
135,Conference Hall,Nikkah,4000,"Scarves"
136,Conference Hall,Conference,5000,"Winter wear"
137,Conference Hall,Birthday,2000,"Summer wear"
138,Wedding Hall,Wedding,6500,"Footwear"
139,Wedding Hall,Nikkah,5500,"Jewelry"
140,Conference Hall,Conference,4000,"Accessories"
141,Conference Hall,Birthday,2500,"Gaming equipment"
142,Conference Hall,Conference,3000,"Car accessories"
143,Conference Hall,Wedding,7500,"Camera gear"
144,Conference Hall,Nikkah,4500,"Audio equipment"
145,Conference Hall,Birthday,2000,"Phone cases"
146,Conference Hall,Conference,3500,"Chargers"
147,Conference Hall,Wedding,6000,"Headsets"
148,Wedding Hall,Nikkah,5500,"Smart watches"
149,Wedding Hall,Wedding,6500,"Phone cases"
150,Wedding Hall,Nikkah,5500,"Chargers"